"","County","region"
"1","Oslo","K-0301 Oslo"
"2","Rogaland","K-1101 Eigersund"
"3","Rogaland","K-1103 Stavanger"
"4","Rogaland","K-1106 Haugesund"
"5","Rogaland","K-1108 Sandnes"
"6","Rogaland","K-1111 Sokndal"
"7","Rogaland","K-1112 Lund"
"8","Rogaland","K-1114 Bjerkreim"
"9","Rogaland","K-1119 Hå"
"10","Rogaland","K-1120 Klepp"
"11","Rogaland","K-1121 Time"
"12","Rogaland","K-1122 Gjesdal"
"13","Rogaland","K-1124 Sola"
"14","Rogaland","K-1127 Randaberg"
"15","Rogaland","K-1130 Strand"
"16","Rogaland","K-1133 Hjelmeland"
"17","Rogaland","K-1134 Suldal"
"18","Rogaland","K-1135 Sauda"
"19","Rogaland","K-1144 Kvitsøy"
"20","Rogaland","K-1145 Bokn"
"21","Rogaland","K-1146 Tysvær"
"22","Rogaland","K-1149 Karmøy"
"23","Rogaland","K-1151 Utsira"
"24","Rogaland","K-1160 Vindafjord"
"25","Møre og Romsdal","K-1505 Kristiansund"
"26","Møre og Romsdal","K-1506 Molde"
"27","Møre og Romsdal","K-1507 Ålesund"
"28","Møre og Romsdal","K-1511 Vanylven"
"29","Møre og Romsdal","K-1514 Sande"
"30","Møre og Romsdal","K-1515 Herøy"
"31","Møre og Romsdal","K-1516 Ulstein"
"32","Møre og Romsdal","K-1517 Hareid"
"33","Møre og Romsdal","K-1520 Ørsta"
"34","Møre og Romsdal","K-1525 Stranda"
"35","Møre og Romsdal","K-1528 Sykkylven"
"36","Møre og Romsdal","K-1531 Sula"
"37","Møre og Romsdal","K-1532 Giske"
"38","Møre og Romsdal","K-1535 Vestnes"
"39","Møre og Romsdal","K-1539 Rauma"
"40","Møre og Romsdal","K-1547 Aukra"
"41","Møre og Romsdal","K-1554 Averøy"
"42","Møre og Romsdal","K-1557 Gjemnes"
"43","Møre og Romsdal","K-1560 Tingvoll"
"44","Møre og Romsdal","K-1563 Sunndal"
"45","Møre og Romsdal","K-1566 Surnadal"
"46","Møre og Romsdal","K-1573 Smøla"
"47","Møre og Romsdal","K-1576 Aure"
"48","Møre og Romsdal","K-1577 Volda"
"49","Møre og Romsdal","K-1578 Fjord"
"50","Møre og Romsdal","K-1579 Hustadvika"
"51","Nordland","K-1804 Bodø"
"52","Nordland","K-1806 Narvik"
"53","Nordland","K-1811 Bindal"
"54","Nordland","K-1812 Sømna"
"55","Nordland","K-1813 Brønnøy"
"56","Nordland","K-1815 Vega"
"57","Nordland","K-1816 Vevelstad"
"58","Nordland","K-1818 Herøy"
"59","Nordland","K-1820 Alstahaug"
"60","Nordland","K-1822 Leirfjord"
"61","Nordland","K-1824 Vefsn"
"62","Nordland","K-1825 Grane"
"63","Nordland","K-1826 Hattfjelldal"
"64","Nordland","K-1827 Dønna"
"65","Nordland","K-1828 Nesna"
"66","Nordland","K-1832 Hemnes"
"67","Nordland","K-1833 Rana"
"68","Nordland","K-1834 Lurøy"
"69","Nordland","K-1835 Træna"
"70","Nordland","K-1836 Rødøy"
"71","Nordland","K-1837 Meløy"
"72","Nordland","K-1838 Gildeskål"
"73","Nordland","K-1839 Beiarn"
"74","Nordland","K-1840 Saltdal"
"75","Nordland","K-1841 Fauske"
"76","Nordland","K-1845 Sørfold"
"77","Nordland","K-1848 Steigen"
"78","Nordland","K-1851 Lødingen"
"79","Nordland","K-1853 Evenes"
"80","Nordland","K-1856 Røst"
"81","Nordland","K-1857 Værøy"
"82","Nordland","K-1859 Flakstad"
"83","Nordland","K-1860 Vestvågøy"
"84","Nordland","K-1865 Vågan"
"85","Nordland","K-1866 Hadsel"
